"date","food","income","housing","childcare","gas","apparel","insurance_home","insurance_car","car_new","car_used","cpi"
"1995-06-01",0.440812239022166,0.441489361702128,0.366700348772776,0.283528946327311,0.381812519464341,1.00875845113706,0.358350088472969,0.430955826202098,0.792099231495214,0.85371904392096,0.477614185517384
"1995-07-01",0.44140833400394,0.441489361702128,0.36763165124585,0.284665790538728,0.372158206166303,1.00952673632452,0.358820364179626,0.431521385029135,0.788166823962968,0.849404607817758,0.478240975787092
"1995-08-01",0.442302476476602,0.441489361702128,0.368330128100655,0.290236327174669,0.362503892868265,1.0179778733866,0.359525777739612,0.432369723269691,0.786481506449148,0.846708085253257,0.479181161191654
"1995-09-01",0.443792713931038,0.441489361702128,0.36902860495546,0.296830023600886,0.357521021488633,1.01644130301168,0.35999605344627,0.432935282096727,0.786481506449148,0.844011562688757,0.479807951461361
"1995-10-01",0.445282951385474,0.441489361702128,0.369959907428534,0.297171076864311,0.350981002802865,1.01720958819914,0.360936604859585,0.434066399750801,0.791537458990607,0.847786694279058,0.481061532000777
"1995-11-01",0.445282951385474,0.441489361702128,0.370891209901608,0.297398445706594,0.342883836810962,1.01413644744929,0.361406880566242,0.434631958577838,0.798840501550492,0.851022521356459,0.481688322270485
"1995-12-01",0.44677318883991,0.441489361702128,0.371589686756413,0.297398445706594,0.342883836810962,1.01567301782422,0.3618771562729,0.435197517404875,0.802211136578131,0.853179739408059,0.482315112540193
"1996-01-01",0.450051711239669,0.447990543735225,0.372520989229487,0.297966867812302,0.351603861725319,1.01951444376152,0.363758259099529,0.437459752713022,0.804458226596557,0.852640434895159,0.484822273619024
"1996-02-01",0.449455616257895,0.447990543735225,0.373452291702561,0.298421605496869,0.350046714419184,1.01567301782422,0.364463672659515,0.438308090953578,0.806143544110377,0.85425834843386,0.485762459023586
"1996-03-01",0.451839996184992,0.447990543735225,0.373917942939097,0.298535289918011,0.361881033945811,1.01874615857406,0.365639361926159,0.43972198802117,0.806705316614984,0.858033480024161,0.487329434697856
"1996-04-01",0.453926328621203,0.447990543735225,0.374616419793903,0.298990027602577,0.389598255995017,1.01259987707437,0.367050189046131,0.441418664502281,0.806143544110377,0.852640434895159,0.489209805506979
"1996-05-01",0.453032186148541,0.447990543735225,0.375314896648708,0.298990027602577,0.412021177203363,1.01259987707437,0.367755602606118,0.442267002742836,0.80558177160577,0.848865303304858,0.490149990911541
